year,lat,lon,n
2006,40.734480398454664,-73.90855360161558,1566.0
2007,40.732913282343965,-73.90981303932732,1442.0
2008,40.731670688401316,-73.90764417917764,1520.0
2009,40.73160403390141,-73.90804060514789,1420.0
2010,40.73574731716226,-73.90795896691786,1473.0
2011,40.733754179847686,-73.90804256125827,1510.0
2012,40.73536654933722,-73.90471684,1373.0
2013,40.7302506943155,-73.9117038683409,1103.0
2014,40.732151626527305,-73.90971575390786,1172.0
2015,40.73280393345343,-73.91302606146749,1138.0
2016,40.731512165837515,-73.91113613538616,997.0
2017,40.73773905945501,-73.9127614662104,789.0
2018,40.73968197192308,-73.91029202908489,754.0
2019,40.74043674028314,-73.91003306862291,777.0
2020,40.732137346142295,-73.90986697120758,1532.0
2021,40.75060130327145,-73.90655058049296,1562.0
2022,40.7473128666306,-73.90728874054096,1294.0
2023,40.74973096268994,-73.9145999340657,974.0
2024,40.756225753274336,-73.90676318512169,904.0
2025,40.750855798997094,-73.90753922950582,688.0
