boro,year,lat,lon,n
BRONX,2006,40.84601921708543,-73.89074916723618,398
BRONX,2007,40.84720873310992,-73.88898799914209,373
BRONX,2008,40.84519751655172,-73.88876345566501,406
BRONX,2009,40.8436458140099,-73.8897708640099,404
BRONX,2010,40.84449405599022,-73.8889345220538,409
BRONX,2011,40.84191155948956,-73.89106779020881,431
BRONX,2012,40.84260602567164,-73.88990179870646,402
BRONX,2013,40.84673090350993,-73.88902587715232,302
BRONX,2014,40.84557162104046,-73.88959146236994,346
BRONX,2015,40.844352983875,-73.89042643340625,320
BRONX,2016,40.841941603643726,-73.89325095417004,247
BRONX,2017,40.84460015380952,-73.88959437294372,231
BRONX,2018,40.842792179779735,-73.89534098696036,227
BRONX,2019,40.84374330490826,-73.89159012642202,218
BRONX,2020,40.843773854730074,-73.89203882724937,389
BRONX,2021,40.84359406624016,-73.89009427887795,508
BRONX,2022,40.84516910328431,-73.88996084394608,408
BRONX,2023,40.84370153731013,-73.89153770806962,316
BRONX,2024,40.841637311863906,-73.89448172032544,338
BRONX,2025,40.84349246075397,-73.88850745222223,252
BROOKLYN,2006,40.666434087652306,-73.93216400407132,673
BROOKLYN,2007,40.66827730861702,-73.93145664273557,658
BROOKLYN,2008,40.667220419392,-73.93015332838401,625
BROOKLYN,2009,40.66425233125817,-73.93272106815358,612
BROOKLYN,2010,40.665337401001565,-73.93154211025039,639
BROOKLYN,2011,40.66528715267994,-73.93081845967842,653
BROOKLYN,2012,40.66649946918969,-73.93027052018417,543
BROOKLYN,2013,40.66312184746362,-73.93210470837839,481
BROOKLYN,2014,40.664329572634614,-73.93025197201924,520
BROOKLYN,2015,40.66368668095137,-73.93396425864694,473
BROOKLYN,2016,40.665916016192774,-73.93238264004819,415
BROOKLYN,2017,40.66467348380952,-73.93377003357143,294
BROOKLYN,2018,40.668025843344054,-73.93122677340837,311
BROOKLYN,2019,40.664509399034486,-73.929606265,290
BROOKLYN,2020,40.66645136964724,-73.93079755690185,652
BROOKLYN,2021,40.66633386764932,-73.93141192200386,519
BROOKLYN,2022,40.663791075723836,-73.92928114634744,449
BROOKLYN,2023,40.66446902852071,-73.93342632695267,338
BROOKLYN,2024,40.6672722348432,-73.92723015836238,287
BROOKLYN,2025,40.66374528469388,-73.93150572257143,245
MANHATTAN,2006,40.8045185395,-73.95082354090908,220
MANHATTAN,2007,40.8039173380226,-73.94922787225988,177
MANHATTAN,2008,40.79410991491979,-73.95520387855615,187
MANHATTAN,2009,40.802443366643836,-73.94965592116439,146
MANHATTAN,2010,40.79981236838384,-73.9499324239899,198
MANHATTAN,2011,40.80288963443182,-73.94875697568182,176
MANHATTAN,2012,40.80330820317881,-73.9499264894702,151
MANHATTAN,2013,40.80131405469565,-73.95284649391304,115
MANHATTAN,2014,40.80693827056075,-73.94843714691588,107
MANHATTAN,2015,40.80109562562044,-73.94964360459853,137
MANHATTAN,2016,40.80484611183099,-73.94773713253521,142
MANHATTAN,2017,40.806360453960394,-73.94953606237624,101
MANHATTAN,2018,40.80988081034884,-73.9475962667442,86
MANHATTAN,2019,40.800239621083335,-73.95038021183333,120
MANHATTAN,2020,40.79948137264151,-73.95158951966981,212
MANHATTAN,2021,40.80673652419848,-73.9482249315649,262
MANHATTAN,2022,40.80010384440758,-73.95176849383886,211
MANHATTAN,2023,40.7986972162963,-73.95253569512346,162
MANHATTAN,2024,40.796482675379316,-73.95520329627587,145
MANHATTAN,2025,40.79596739344444,-73.95557670333334,90
QUEENS,2006,40.69202947579167,-73.80273607816666,240
QUEENS,2007,40.69047685758974,-73.800935956,195
QUEENS,2008,40.68424211531746,-73.80621779805556,252
QUEENS,2009,40.68530766534562,-73.80440631686635,217
QUEENS,2010,40.69009388495,-73.80193121635,200
QUEENS,2011,40.68700883439252,-73.80335400864486,214
QUEENS,2012,40.68643349838983,-73.80688902228813,236
QUEENS,2013,40.689794922160495,-73.81207700648149,162
QUEENS,2014,40.682658169751555,-73.81279762521739,161
QUEENS,2015,40.68619851771084,-73.81571998596385,166
QUEENS,2016,40.690018449936304,-73.80510959541401,157
QUEENS,2017,40.692096299262296,-73.80588376868852,122
QUEENS,2018,40.696608892363635,-73.81628137227273,110
QUEENS,2019,40.701920848,-73.81717317376001,125
QUEENS,2020,40.68824770894958,-73.80997394983193,238
QUEENS,2021,40.693341982658225,-73.81083646063291,237
QUEENS,2022,40.697091718080806,-73.81680756878788,198
QUEENS,2023,40.70943668259542,-73.83646237030534,131
QUEENS,2024,40.6947799202521,-73.80891233529412,119
QUEENS,2025,40.69856607844445,-73.82369154044444,90
STATEN ISLAND,2006,40.625410334571434,-74.11693025914286,35
STATEN ISLAND,2007,40.62023770666667,-74.10932213589744,39
STATEN ISLAND,2008,40.6209785076,-74.1129069742,50
STATEN ISLAND,2009,40.625704820487805,-74.11997564121951,41
STATEN ISLAND,2010,40.62316681888889,-74.11559507703704,27
STATEN ISLAND,2011,40.6206653475,-74.12140583833333,36
STATEN ISLAND,2012,40.62740472804878,-74.10814869780488,41
STATEN ISLAND,2013,40.62544838744186,-74.1080782627907,43
STATEN ISLAND,2014,40.626636509473684,-74.11352630973686,38
STATEN ISLAND,2015,40.62273968309524,-74.11455746238096,42
STATEN ISLAND,2016,40.62171838888889,-74.10694628833333,36
STATEN ISLAND,2017,40.62637375073171,-74.12007670097562,41
STATEN ISLAND,2018,40.618680844500005,-74.1111014735,20
STATEN ISLAND,2019,40.621113353333335,-74.12295657375,24
STATEN ISLAND,2020,40.6240752697561,-74.11030026243903,41
STATEN ISLAND,2021,40.62164315333333,-74.10717089722223,36
STATEN ISLAND,2022,40.61805681892857,-74.11176144285714,28
STATEN ISLAND,2023,40.61898465814815,-74.10033216296297,27
STATEN ISLAND,2024,40.63191598066667,-74.09993310466668,15
STATEN ISLAND,2025,40.62755294363637,-74.10273345181818,11
