boro,gx,gy,lat,lon,total_count,early_count,recent_count,early_rate,recent_rate,rate_diff,years_active,years_ge3,precinct,loc_class,late_share,street_share,housing_share,recent_rank_boro,emerging_rank_boro,persistent_score,persistent_rank_boro,fading_rank_boro,view
BRONX,2,51,40.85359477756098,-73.90068206682926,41,9,22,1.5,7.333333333333333,5.833333333333333,17,3,46,STREET,48.78048780487805,85.36585365853658,2.4390243902439024,1.0,1.0,40.73766961828337,9.0,607.0,Recent hotspots
BRONX,-4,44,40.83790593027027,-73.91954259864865,37,9,15,1.5,5.0,3.5,16,4,44,STREET,56.75675675675676,72.97297297297297,0.0,2.0,4.0,39.63758615972638,11.0,604.0,Recent hotspots
BRONX,2,47,40.84421140961538,-73.9007538326923,26,5,15,0.8333333333333334,5.0,4.166666666666667,11,3,48,STREET,61.53846153846154,92.3076923076923,0.0,3.0,2.0,28.29583686600433,90.0,606.0,Recent hotspots
BRONX,-1,37,40.82219326068965,-73.91147810827586,29,6,14,1.0,4.666666666666667,3.666666666666667,13,2,42,STREET,58.620689655172406,93.10344827586206,3.4482758620689653,4.0,3.0,31.401197381662154,52.0,605.0,Recent hotspots
BRONX,13,37,40.82278780769231,-73.86963521192307,26,7,12,1.1666666666666667,4.0,2.833333333333333,12,3,43,STREET,73.07692307692307,65.38461538461539,7.6923076923076925,5.0,5.0,30.29583686600433,66.0,603.0,Recent hotspots
BRONX,-6,32,40.81064530387097,-73.92525232193549,31,9,10,1.5,3.3333333333333335,1.8333333333333335,13,4,40,STREET,45.16129032258064,70.96774193548387,19.35483870967742,6.0,6.0,33.46573590279973,36.0,602.0,Recent hotspots
BRONX,20,66,40.88712671354839,-73.84739631870968,31,10,8,1.6666666666666667,2.6666666666666665,0.9999999999999998,15,4,47,STREET,51.61290322580645,77.41935483870968,19.35483870967742,7.0,27.0,37.46573590279973,18.0,581.0,Recent hotspots
BRONX,-4,37,40.82218617780487,-73.91921600292682,41,11,7,1.8333333333333333,2.3333333333333335,0.5000000000000002,17,6,40,HOUSING,70.73170731707317,0.0,100.0,8.0,54.0,43.73766961828337,3.0,553.0,Recent hotspots
BRONX,0,34,40.81583010193548,-73.90778465193549,31,11,7,1.8333333333333333,2.3333333333333335,0.5000000000000002,14,5,40,HOUSING,45.16129032258064,29.03225806451613,58.06451612903226,9.0,55.0,36.46573590279973,23.0,554.0,Recent hotspots
BRONX,-3,39,40.82594632846154,-73.91681778,26,9,6,1.5,2.0,0.5,14,3,44,STREET,61.53846153846154,80.76923076923077,3.8461538461538463,11.0,57.0,34.29583686600433,34.0,533.0,Recent hotspots
BRONX,4,34,40.816105030769236,-73.89612557000001,13,3,6,0.5,2.0,1.5,10,1,41,STREET,38.46153846153847,84.61538461538461,0.0,15.0,8.0,23.63905732961526,163.0,600.0,Recent hotspots
