boro,year,lat,lon,n_murders
BRONX,2006,40.8529363616,-73.90182537359999,25
BRONX,2007,40.847762744,-73.91846621500001,11
BRONX,2008,40.815042222307696,-73.91995115461538,13
BRONX,2009,40.83903234,-73.89032555,76
BRONX,2010,40.851644955,-73.888673115,75
BRONX,2011,40.818238895263164,-73.91771505,19
BRONX,2012,40.822703190666665,-73.898624052,15
BRONX,2013,40.82633569277779,-73.90182354388888,18
BRONX,2014,40.85846180428572,-73.89532962142857,15
BRONX,2015,40.858333388000005,-73.90040946066665,15
BRONX,2016,40.843095468461534,-73.90361000307692,15
BRONX,2017,40.83408280153846,-73.91099113384615,13
BRONX,2018,40.834609685833335,-73.90780425500002,12
BRONX,2019,40.83464078583333,-73.9035270525,12
BRONX,2020,40.84820792181818,-73.89147466636364,11
BRONX,2021,40.83981972385966,-73.90282438263158,58
BRONX,2022,40.85206973541667,-73.8968743775,24
BRONX,2023,40.849423155,-73.90056584714286,15
BRONX,2024,40.853950407999996,-73.902614308,21
BRONX,2025,40.840938975,-73.884999725,58
BROOKLYN,2006,40.67432383367088,-73.93077233860758,83
BROOKLYN,2007,40.67620235566265,-73.92577177831325,86
BROOKLYN,2008,40.671860729215695,-73.92044154078431,52
BROOKLYN,2009,40.68537953250001,-73.9347850755,22
BROOKLYN,2010,40.67319851136364,-73.92075584166669,66
BROOKLYN,2011,40.67266254419354,-73.91162941129033,31
BROOKLYN,2012,40.66953832263158,-73.92344252473684,19
BROOKLYN,2013,40.675704783,-73.926471579,10
BROOKLYN,2014,40.670153595,-73.932123115,73
BROOKLYN,2015,40.656995551,-73.92263830300001,10
BROOKLYN,2016,40.6762384515625,-73.923699859375,34
BROOKLYN,2017,40.663175165,-73.93293616,58
BROOKLYN,2018,40.69622633642856,-73.94111720642857,14
BROOKLYN,2019,40.67087947,-73.92990423,58
BROOKLYN,2020,40.67012835892857,-73.91722778785713,58
BROOKLYN,2021,40.670065529999995,-73.89864456583332,14
BROOKLYN,2022,40.66644862,-73.92671746,85
BROOKLYN,2023,40.667762835000005,-73.92671746,76
BROOKLYN,2024,40.671620386923074,-73.90813747615385,13
BROOKLYN,2025,40.66581961,-73.94587741,47
MANHATTAN,2006,40.81519144696969,-73.94392146515152,33
MANHATTAN,2007,40.8176103805,-73.948305783,21
MANHATTAN,2008,40.8153911638889,-73.94560454666667,18
MANHATTAN,2009,40.80772037842105,-73.94296009052631,19
MANHATTAN,2010,40.80872051875,-73.94400166875,24
MANHATTAN,2011,40.809341613684204,-73.94551563842106,20
MANHATTAN,2012,40.8079676,-73.942999589,10
MANHATTAN,2013,40.80184518,-73.949873286,5
MANHATTAN,2014,40.819805003846156,-73.94844854,14
MANHATTAN,2015,40.795758709090904,-73.94324558090908,11
MANHATTAN,2016,40.81664609875,-73.942182715,8
MANHATTAN,2017,40.800622266000005,-73.95053156,5
MANHATTAN,2018,40.8263313775,-73.9426077325,4
MANHATTAN,2019,40.81579195842105,-73.94526150736841,20
MANHATTAN,2020,40.802700531851855,-73.94615073185186,28
MANHATTAN,2021,40.80764512,-73.9419992834375,32
MANHATTAN,2022,40.806202676666665,-73.94115557416667,13
MANHATTAN,2023,40.81538225599999,-73.94227736600003,31
MANHATTAN,2024,40.79895458428572,-73.94317179857141,8
MANHATTAN,2025,40.80278967333333,-73.95041236666667,6
QUEENS,2006,40.69908712,-73.79394951,49
QUEENS,2007,40.700252524999996,-73.80236923000001,42
QUEENS,2008,40.68679626,-73.79067074,50
QUEENS,2009,40.699875706,-73.786519626,6
QUEENS,2010,40.692563419333325,-73.79724144666666,17
QUEENS,2011,40.695931290000004,-73.79658641500001,47
QUEENS,2012,40.69379764333333,-73.79008896083333,12
QUEENS,2013,40.73757116666667,-73.86783220666666,3
QUEENS,2014,40.681187205,-73.7687170575,4
QUEENS,2015,40.69708763,-73.80006969,39
QUEENS,2016,40.695199329999994,-73.78798229750001,4
QUEENS,2017,40.69842247,-73.78568812666667,4
QUEENS,2018,40.6892813,-73.80424655,33
QUEENS,2019,40.697867025,-73.7935121,4
QUEENS,2020,40.6043144,-73.75686245666667,6
QUEENS,2021,40.705865,-73.80393908,55
QUEENS,2022,40.69829973333333,-73.80111341333333,6
QUEENS,2023,40.70083288,-73.86282526,23
QUEENS,2024,40.687917644,-73.76210248800001,5
QUEENS,2025,40.69911046,-73.79043234,22
STATEN ISLAND,2006,40.62570376,-74.13499425,7
STATEN ISLAND,2007,40.61261362,-74.08312582,7
STATEN ISLAND,2008,40.61547749,-74.11714263,11
STATEN ISLAND,2009,40.6407622775,-74.08661382,4
STATEN ISLAND,2010,40.628094995,-74.14661476500001,6
STATEN ISLAND,2011,40.616578239999996,-74.0825013075,4
STATEN ISLAND,2012,40.636397985,-74.12087002499999,6
STATEN ISLAND,2013,40.61547749,-74.10205584,3
STATEN ISLAND,2014,40.61074337,-74.08199620333333,4
STATEN ISLAND,2015,40.64132746666667,-74.0809167,3
STATEN ISLAND,2016,40.62398369,-74.11865312,6
STATEN ISLAND,2017,40.631808506666665,-74.14873464333333,3
STATEN ISLAND,2018,40.64012169,-74.07675069,3
STATEN ISLAND,2019,40.61881194,-74.10909239,5
STATEN ISLAND,2020,40.6177623,-74.082372186,5
STATEN ISLAND,2021,40.6193961325,-74.082916265,4
STATEN ISLAND,2022,40.61938288,-74.08230031,6
STATEN ISLAND,2023,40.6226026,-74.0802094975,4
STATEN ISLAND,2025,40.64472094,-74.07703272,1
