boro,year,lat,lon,n_incidents,n_victims,n_murders,severity_score,lethality_pct
BRONX,2006,40.84250650015585,-73.90484182927273,221,275,55,385,20.0
BRONX,2007,40.834871442548085,-73.91172711423076,121,152,28,208,18.4
BRONX,2008,40.849866454177224,-73.90395296759495,109,132,13,158,9.8
BRONX,2009,40.826724577349,-73.90647465077183,187,234,32,298,13.7
BRONX,2010,40.82370877065326,-73.90976244758794,135,159,20,199,12.6
BRONX,2011,40.83250399322727,-73.90736094679545,269,330,55,440,16.7
BRONX,2012,40.834550742961035,-73.9032488361039,257,315,35,385,11.1
BRONX,2013,40.86066193818183,-73.9012731528788,47,54,6,66,11.1
BRONX,2014,40.84130804648305,-73.9050287645339,161,186,25,236,13.4
BRONX,2015,40.83134210875,-73.9116435075,81,90,7,104,7.8
BRONX,2016,40.84512131492647,-73.90581376345588,89,104,16,136,15.4
BRONX,2017,40.82953273032258,-73.9099236096774,35,44,9,62,20.5
BRONX,2018,40.84167160208954,-73.91452906179106,37,45,11,67,24.4
BRONX,2019,40.830439485206604,-73.90815396438016,78,89,16,121,18.0
BRONX,2020,40.83672357636363,-73.90472604017677,253,314,41,396,13.1
BRONX,2021,40.8351286950909,-73.90454400456363,342,398,76,550,19.1
BRONX,2022,40.838345110635686,-73.90488792740831,248,295,57,409,19.3
BRONX,2023,40.843207589688895,-73.90733180204444,134,169,28,225,16.6
BRONX,2024,40.83921585527174,-73.90666919051631,224,280,44,368,15.7
BRONX,2025,40.84128740625,-73.911437870625,32,40,4,48,10.0
BROOKLYN,2006,40.67429824149193,-73.92432188518816,450,538,103,744,19.1
BROOKLYN,2007,40.67728161436519,-73.92503477974321,435,515,93,701,18.1
BROOKLYN,2008,40.67694930193262,-73.92215321398936,369,426,69,564,16.2
BROOKLYN,2009,40.676027123654166,-73.92314229207179,381,461,76,613,16.5
BROOKLYN,2010,40.67562067341985,-73.91829123157252,382,471,92,655,19.5
BROOKLYN,2011,40.67504755352657,-73.92483059589371,387,471,75,621,15.9
BROOKLYN,2012,40.6754241456624,-73.92382085980769,308,368,50,468,13.6
BROOKLYN,2013,40.67676961609686,-73.9228252291738,231,277,37,351,13.4
BROOKLYN,2014,40.676587800985914,-73.92322143430985,241,283,36,355,12.7
BROOKLYN,2015,40.66729309755556,-73.90359098649999,117,136,22,180,16.2
BROOKLYN,2016,40.674639534502155,-73.91837467012988,131,157,37,231,23.6
BROOKLYN,2017,40.668093575,-73.934276125,294,350,58,466,16.6
BROOKLYN,2018,40.663759711506856,-73.91020436986302,49,59,7,73,11.9
BROOKLYN,2019,40.673040257582414,-73.92552997483516,47,69,11,91,15.9
BROOKLYN,2020,40.6733191988567,-73.91871212106707,402,488,84,656,17.2
BROOKLYN,2021,40.667748800372884,-73.91304463152542,193,215,40,295,18.6
BROOKLYN,2022,40.66568937516908,-73.91752271130436,132,155,26,207,16.8
BROOKLYN,2023,40.66529192822223,-73.91699242066667,61,68,11,90,16.2
BROOKLYN,2024,40.669823677333326,-73.91054131644445,53,66,12,90,18.2
BROOKLYN,2025,40.662746654749995,-73.91026638675001,30,34,3,40,8.8
MANHATTAN,2006,40.815176557303374,-73.9431301723221,164,195,36,267,18.5
MANHATTAN,2007,40.80987598875537,-73.94451568540772,137,163,35,233,21.5
MANHATTAN,2008,40.81131039759162,-73.94445494832463,119,151,20,191,13.2
MANHATTAN,2009,40.80789192099378,-73.94377704552795,104,121,20,161,16.5
MANHATTAN,2010,40.80697609174887,-73.94380253713005,149,175,24,223,13.7
MANHATTAN,2011,40.808221555,-73.94459262359999,141,158,21,200,13.3
MANHATTAN,2012,40.808925527375,-73.945541975125,106,130,15,160,11.5
MANHATTAN,2013,40.81123501280703,-73.9462656772807,82,92,11,114,12.0
MANHATTAN,2014,40.81249674059259,-73.94471211111113,81,97,19,135,19.6
MANHATTAN,2015,40.80644864027396,-73.94405917191781,97,118,14,146,11.9
MANHATTAN,2016,40.81070637035212,-73.94271081767606,99,116,13,142,11.2
MANHATTAN,2017,40.809199821958764,-73.94626104061857,72,85,6,97,7.1
MANHATTAN,2018,40.80921589362637,-73.94543356648352,60,69,11,91,15.9
MANHATTAN,2019,40.80699972139706,-73.94483346036766,83,96,20,136,20.8
MANHATTAN,2020,40.80547808054299,-73.94485286656109,137,165,28,221,17.0
MANHATTAN,2021,40.8079866888189,-73.9436527326378,163,190,32,254,16.8
MANHATTAN,2022,40.80823131928571,-73.94360945693877,129,160,18,196,11.2
MANHATTAN,2023,40.81087182658385,-73.94331734677019,96,105,28,161,26.7
MANHATTAN,2024,40.80739031982759,-73.94472984258621,76,92,12,116,13.0
MANHATTAN,2025,40.807017326582276,-73.94567114962025,53,63,8,79,12.7
QUEENS,2006,40.694250765,-73.79272673,240,292,49,390,16.8
QUEENS,2007,40.69207462,-73.7877839,195,230,42,314,18.3
QUEENS,2008,40.690293995000005,-73.791784855,252,311,50,411,16.1
QUEENS,2009,40.69196688,-73.79272673,217,252,41,334,16.3
QUEENS,2010,40.690386124259255,-73.79059239444445,24,36,9,54,25.0
QUEENS,2011,40.693416035,-73.79187205,214,254,47,348,18.5
QUEENS,2012,40.693336425,-73.79073986,236,274,48,370,17.5
QUEENS,2013,40.693085444999994,-73.79625457,162,178,26,230,14.6
QUEENS,2014,40.59401524454545,-73.79235276590909,20,22,0,22,0.0
QUEENS,2015,40.692587155,-73.8026109,166,187,39,265,20.9
QUEENS,2016,40.692429629749995,-73.790930367,29,32,4,40,12.5
QUEENS,2017,40.694011085,-73.79200993,122,137,27,191,19.7
QUEENS,2018,40.6979664117647,-73.79575433529412,13,13,2,17,15.4
QUEENS,2019,40.69761868,-73.80035253,125,148,27,202,18.2
QUEENS,2020,40.695983874999996,-73.79337256,238,293,45,383,15.4
QUEENS,2021,40.69628383,-73.79344685,237,299,55,409,18.4
QUEENS,2022,40.699272910000005,-73.80295118500001,198,252,38,328,15.1
QUEENS,2023,40.71007091,-73.82142742,131,161,23,207,14.3
QUEENS,2024,40.69911692,-73.79283245,119,145,25,195,17.2
QUEENS,2025,40.70139117,-73.809270455,90,110,22,154,20.0
STATEN ISLAND,2006,40.62479985291666,-74.08121999625,17,18,3,24,16.7
STATEN ISLAND,2007,40.619954665600005,-74.0805591112,15,19,3,25,15.8
STATEN ISLAND,2008,40.618090782727265,-74.08234882818181,15,18,2,22,11.1
STATEN ISLAND,2009,40.6406383892,-74.0861977132,12,17,4,25,23.5
STATEN ISLAND,2010,40.62184358428572,-74.0820092407143,11,12,1,14,8.3
STATEN ISLAND,2011,40.618384684736846,-74.08222670894736,9,11,4,19,36.4
STATEN ISLAND,2012,40.634417839375004,-74.12081318874999,10,12,2,16,16.7
STATEN ISLAND,2013,40.625488188888895,-74.08429036074074,22,25,1,27,4.0
STATEN ISLAND,2014,40.61515362869565,-74.08073268782609,11,13,5,23,38.5
STATEN ISLAND,2015,40.63577358352942,-74.12376292705883,13,13,2,17,15.4
STATEN ISLAND,2016,40.61774130166666,-74.08340114611111,14,14,2,18,14.3
STATEN ISLAND,2017,40.634427949999996,-74.15743104333332,12,13,4,21,30.8
STATEN ISLAND,2018,40.63958369454545,-74.08193559363636,7,7,2,11,28.6
STATEN ISLAND,2019,40.63529493875,-74.11508756250001,6,6,1,8,16.7
STATEN ISLAND,2020,40.61708532913044,-74.08234251521739,13,13,5,23,38.5
STATEN ISLAND,2021,40.618739492272724,-74.08184965954545,12,14,4,22,28.6
STATEN ISLAND,2022,40.61936751352941,-74.08116475117649,7,9,4,17,44.4
STATEN ISLAND,2023,40.62185114882353,-74.08011705588235,9,9,4,17,44.4
STATEN ISLAND,2024,40.64472094,-74.07703272,5,5,0,5,0.0
STATEN ISLAND,2025,40.6259086,-74.10262128,11,11,1,13,9.1
